n1	t	n2
ls:fr:node:26291	ls:fr:lf:125	ls:fr:node:38438
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:44224
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:37328
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:27536
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:38441
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:48732
ls:fr:node:26291	ls:fr:lf:145	ls:fr:node:38445
ls:fr:node:26291	ls:fr:lf:170	ls:fr:node:34765
ls:fr:node:26291	ls:fr:lf:190	ls:fr:node:43932
ls:fr:node:26291	ls:fr:lf:190	ls:fr:node:38698
ls:fr:node:26291	ls:fr:lf:449	ls:fr:node:34823
ls:fr:node:26291	ls:fr:lf:449	ls:fr:node:38516
ls:fr:node:26291	ls:fr:lf:449	ls:fr:node:38596
ls:fr:node:26291	ls:fr:lf:188	ls:fr:node:27114
ls:fr:node:26291	ls:fr:lf:225	ls:fr:node:43932
ls:fr:node:26291	ls:fr:lf:438	ls:fr:node:38550
ls:fr:node:26291	ls:fr:lf:437	ls:fr:node:38727
ls:fr:node:26291	ls:fr:lf:115	ls:fr:node:39865
ls:fr:node:26291	ls:fr:lf:104	ls:fr:node:40578
ls:fr:node:26291	ls:fr:lf:366	ls:fr:node:31813
ls:fr:node:26292	ls:fr:lf:23	ls:fr:node:26248
ls:fr:node:26292	ls:fr:lf:20	ls:fr:node:39295
ls:fr:node:26292	ls:fr:lf:100	ls:fr:node:53134
ls:fr:node:26292	ls:fr:lf:914	ls:fr:node:53136
ls:fr:node:26292	ls:fr:lf:40	ls:fr:node:54027
ls:fr:node:26292	ls:fr:lf:8	ls:fr:node:55824
ls:fr:node:26293	ls:fr:lf:419	ls:fr:node:27114
ls:fr:node:26293	ls:fr:lf:419	ls:fr:node:43444
ls:fr:node:26293	ls:fr:lf:419	ls:fr:node:54430
ls:fr:node:26293	ls:fr:lf:31	ls:fr:node:32456
ls:fr:node:26293	ls:fr:lf:31	ls:fr:node:32454
ls:fr:node:26294	ls:fr:lf:447	ls:fr:node:34371
ls:fr:node:26295	ls:fr:lf:21	ls:fr:node:31592
ls:fr:node:26295	ls:fr:lf:109	ls:fr:node:31594
ls:fr:node:26295	ls:fr:lf:330	ls:fr:node:31595
