"source"	"target"	"type"	"subtype"
"ls:fr:node:43340"	"ls:fr:node:45123"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45132"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43340"	"ls:fr:node:45139"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:46433"	"ls:fr:node:47725"	"ls:fr:cptype:2"	""
"ls:fr:node:31739"	"ls:fr:node:43849"	"ls:fr:cptype:5"	""
"ls:fr:node:31739"	"ls:fr:node:44157"	"ls:fr:cptype:2"	""
"ls:fr:node:31739"	"ls:fr:node:44158"	"ls:fr:cptype:2"	""
"ls:fr:node:31739"	"ls:fr:node:31741"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31739"	"ls:fr:node:44102"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27178"	"ls:fr:node:44752"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:34132"	"ls:fr:node:47147"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29345"	"ls:fr:node:38361"	"ls:fr:cptype:2"	""
"ls:fr:node:53313"	"ls:fr:node:55715"	"ls:fr:cptype:5"	""
"ls:fr:node:38369"	"ls:fr:node:38365"	"ls:fr:cptype:5"	""
"ls:fr:node:28984"	"ls:fr:node:44592"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26364"	"ls:fr:node:38670"	"ls:fr:cptype:5"	""
"ls:fr:node:26364"	"ls:fr:node:38664"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26364"	"ls:fr:node:38913"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26364"	"ls:fr:node:39215"	"ls:fr:cptype:5"	""
"ls:fr:node:26364"	"ls:fr:node:39216"	"ls:fr:cptype:5"	""
"ls:fr:node:26670"	"ls:fr:node:46172"	"ls:fr:cptype:5"	""
"ls:fr:node:39698"	"ls:fr:node:39701"	"ls:fr:cptype:2"	""
"ls:fr:node:29937"	"ls:fr:node:43768"	"ls:fr:cptype:4"	""
"ls:fr:node:29937"	"ls:fr:node:46738"	"ls:fr:cptype:2"	"ls:fr:cpstype:5"
"ls:fr:node:29937"	"ls:fr:node:46909"	"ls:fr:cptype:2"	"ls:fr:cpstype:5"
"ls:fr:node:29937"	"ls:fr:node:43773"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29937"	"ls:fr:node:43774"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:44158"	"ls:fr:node:44159"	"ls:fr:cptype:5"	""
